2022-02-05T00:52:02.786Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T00:52:02.787Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T00:52:02.787Z | info | TaskController {/boards/:boardId}:;
2022-02-05T00:52:02.788Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T00:52:02.788Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T00:52:02.789Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T00:52:02.790Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T00:52:02.790Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T00:52:02.791Z | info | LoginController {/login}:;
2022-02-05T00:52:02.791Z | info | Mapped {/login, POST} route;
2022-02-05T00:52:02.795Z | info | Nest application successfully started;
2022-02-05T00:52:02.803Z | info | Server started on port 4000;
2022-02-05T00:52:10.195Z | info | Starting Nest application...;
2022-02-05T00:52:10.247Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:10.247Z | info | ColumnModule dependencies initialized;
2022-02-05T00:52:10.247Z | info | AppModule dependencies initialized;
2022-02-05T00:52:10.323Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T00:52:10.323Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:10.323Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:10.323Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:10.324Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:10.328Z | info | UserModule dependencies initialized;
2022-02-05T00:52:10.328Z | info | BoardModule dependencies initialized;
2022-02-05T00:52:10.328Z | info | LoginModule dependencies initialized;
2022-02-05T00:52:10.329Z | info | TaskModule dependencies initialized;
2022-02-05T00:52:10.349Z | info | UserController {/users}:;
2022-02-05T00:52:10.353Z | info | Mapped {/users, POST} route;
2022-02-05T00:52:10.354Z | info | Mapped {/users, GET} route;
2022-02-05T00:52:10.355Z | info | Mapped {/users/:id, GET} route;
2022-02-05T00:52:10.356Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T00:52:10.357Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T00:52:10.358Z | info | BoardController {/boards}:;
2022-02-05T00:52:10.359Z | info | Mapped {/boards, POST} route;
2022-02-05T00:52:10.359Z | info | Mapped {/boards, GET} route;
2022-02-05T00:52:10.360Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T00:52:10.361Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T00:52:10.362Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T00:52:10.362Z | info | TaskController {/boards/:boardId}:;
2022-02-05T00:52:10.363Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T00:52:10.364Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T00:52:10.364Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T00:52:10.365Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T00:52:10.366Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
